is_shorts,duration_seconds,channel_subscriber_count,channel_view_count,channel_video_count,channel_age_days,video_category_id,video_trending_country,channel_country_int,video_licensed_content,publish_hour,publish_day_of_week,title_length,tag_count,reach_level
0,2957.0,580000.0,397610411.0,10525.0,4452,6,0,54,1,8,0,42,0,1
0,154.0,110000.0,137286979.0,1275.0,1338,7,1,18,1,9,5,44,1,1
0,483.0,33400.0,2751164.0,84.0,554,6,1,54,1,8,5,43,0,1
1,40.0,588000.0,477542628.0,368.0,743,10,1,45,1,10,1,27,0,1
0,7875.0,8230.0,5391979.0,1836.0,2695,6,0,18,1,17,6,3,1,1
0,755.0,58900.0,22732487.0,993.0,2962,6,1,45,1,4,6,27,0,1
1,12.0,53100.0,34056659.0,445.0,595,10,1,18,1,10,3,43,1,2
0,196.0,134000.0,41080909.0,79.0,2643,8,0,18,1,13,2,58,1,1
1,19.0,652000.0,343395482.0,514.0,415,10,1,53,1,10,0,92,1,1
0,571.0,21300.0,11072755.0,170.0,1645,6,1,54,1,13,4,59,1,1
0,1535.0,96300.0,7654128.0,15.0,214,4,0,53,1,1,4,52,1,2
0,32043.0,1890000.0,788922741.0,3997.0,3642,6,1,16,1,20,2,39,1,3
0,1354.0,605000.0,410869765.0,2349.0,4437,6,1,45,1,9,2,47,1,1
0,904.0,11200.0,3698227.0,216.0,203,6,1,18,1,10,6,33,1,1
0,942.0,593000.0,187375741.0,5518.0,3318,9,0,18,1,12,6,96,1,1
1,60.0,145000.0,133173620.0,16441.0,4020,9,1,45,1,10,0,37,1,1
0,42900.0,122000.0,119639520.0,2558.0,3912,6,1,45,1,20,2,67,1,1
0,288.0,1160000.0,3563624575.0,4267.0,4549,8,1,45,1,2,1,37,1,1
0,293.0,1180000.0,901097541.0,296.0,4589,8,1,54,1,9,2,17,1,1
0,33746.0,1850000.0,733770560.0,3912.0,3642,6,1,16,1,20,0,47,1,3
0,1120.0,194000.0,141364631.0,2565.0,4677,6,1,45,1,4,4,82,1,1
0,561.0,97000.0,18905881.0,224.0,2603,6,1,45,1,10,6,32,1,1
1,23.0,10400000.0,3087784005.0,1051.0,5584,13,1,52,1,17,4,17,0,3
0,462.0,82000.0,69267618.0,699.0,948,6,1,45,1,23,2,30,0,1
0,250.0,155.0,34717.0,85.0,80,8,1,54,1,10,4,21,1,1
