video_category_id,video_trending_country,publish_hour,publish_day_of_week,title_length,tag_count,channel_subscriber_count,video_definition,video_licensed_content,channel_have_hidden_subscribers,is_shorts,reach_level
10,1,10,3,43,1,53100.0,1,1,0,1,2
8,0,13,2,58,1,134000.0,1,1,0,0,1
10,1,10,0,92,1,652000.0,1,1,0,1,1
6,1,13,4,59,1,21300.0,1,1,0,0,1
4,0,1,4,52,1,96300.0,1,1,0,0,2
6,1,20,2,39,1,1890000.0,1,1,0,0,3
6,1,9,2,47,1,605000.0,1,1,0,0,1
6,1,10,6,33,1,11200.0,1,1,0,0,1
9,0,12,6,96,1,593000.0,1,1,0,0,1
9,1,10,0,37,1,145000.0,1,1,0,1,1
6,1,20,2,67,1,122000.0,1,1,0,0,1
8,1,2,1,37,1,1160000.0,1,1,0,0,1
8,1,9,2,17,1,1180000.0,1,1,0,0,1
6,1,20,0,47,1,1850000.0,1,1,0,0,3
6,1,4,4,82,1,194000.0,1,1,0,0,1
6,1,10,6,32,1,97000.0,1,1,0,0,1
13,1,17,4,17,0,10400000.0,1,1,0,1,3
6,1,23,2,30,0,82000.0,1,1,0,0,1
8,1,10,4,21,1,155.0,1,1,0,0,1
6,1,6,6,46,1,3260000.0,1,1,0,0,1
10,1,2,4,33,1,113000.0,1,1,0,1,1
6,0,19,5,45,1,152000.0,1,1,0,0,1
6,1,8,3,68,1,22900000.0,1,1,0,0,3
13,1,14,0,30,1,477000.0,1,1,0,0,2
6,0,11,2,43,1,1600000.0,1,1,0,0,2
9,0,9,0,33,1,2960000.0,1,1,0,0,2
6,0,12,1,32,1,22100.0,1,1,0,0,1
4,1,11,2,19,0,40400.0,1,1,0,1,1
6,1,15,5,35,1,622000.0,1,1,0,0,1
6,1,20,4,89,1,113000.0,1,1,0,0,1
6,0,7,1,61,0,203000.0,1,1,0,0,1
6,1,12,0,42,1,821000.0,1,1,0,0,1
8,1,11,0,23,1,959000.0,1,1,0,0,2
6,0,18,2,24,1,4060000.0,1,1,0,0,3
8,1,14,3,11,1,459.0,1,1,0,0,1
6,1,13,0,70,1,92100.0,1,1,0,0,1
6,1,20,6,38,1,59000.0,1,1,0,0,1
6,1,21,4,32,1,6990.0,1,1,0,0,1
3,1,13,1,71,1,589000.0,1,1,0,0,1
6,0,9,5,50,1,55900.0,1,1,0,0,1
4,0,12,4,9,0,1040000.0,1,1,0,1,3
6,1,9,0,65,0,203000.0,1,1,0,0,1
6,0,18,0,34,1,1970000.0,1,1,0,0,2
6,1,10,4,30,1,129000.0,1,1,0,0,1
8,1,9,2,37,0,575000.0,1,0,0,0,1
4,1,4,3,22,0,227000.0,1,1,0,0,1
4,1,4,4,30,0,210000.0,1,1,0,1,1
6,1,7,3,80,1,1540000.0,1,1,0,0,2
6,0,6,6,39,1,32900000.0,1,1,0,0,3
6,0,13,4,45,1,202000.0,1,1,0,0,1
6,1,9,1,51,1,22900000.0,1,1,0,0,3
8,0,9,2,71,1,1090000.0,1,1,0,0,1
10,1,9,0,31,1,65200.0,1,1,0,0,1
10,0,2,1,69,0,36400.0,1,1,0,0,1
6,1,11,3,55,0,174000.0,1,1,0,0,1
6,0,3,0,33,1,4220000.0,1,1,0,0,2
